  newton_root         Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  nqueens             Soma: wall   907ms inner   899ms   Python: wall 35801ms inner 39203ms   speedup:   43.6x
  odd_period          Soma: wall     9ms inner     2ms   Python: wall    38ms inner    15ms   speedup:    7.5x
  padovan             Soma: wall     5ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.8x
  palindrome          Soma: wall     5ms inner   —ms   Python: wall    37ms inner     8ms   speedup:    7.4x
  pandigital          Soma: wall    19ms inner    10ms   Python: wall    37ms inner    12ms   speedup:    1.2x
  partitions          Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  pell                Soma: wall     4ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    4.8x
  perfect             Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
  perrin              Soma: wall     5ms inner   —ms   Python: wall    77ms inner    46ms   speedup:   15.4x
  pollard_rho         Soma: wall    11ms inner     7ms   Python: wall    38ms inner    20ms   speedup:    2.9x
  primorial           Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  pythagoras          Soma: wall     5ms inner   —ms   Python: wall    23ms inner     4ms   speedup:    4.6x
  quadratic_primes    Soma: wall    11ms inner     8ms   Python: wall   460ms inner   427ms   speedup:   53.4x
  quicksort           Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  random_walk         Soma: wall    10ms inner   —ms   Python: wall   187ms inner   168ms   speedup:   18.7x
  recaman             Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
  sieve               Soma: wall    40ms inner    25ms   Python: wall  1147ms inner  1168ms   speedup:   46.7x
  simpson             Soma: wall     6ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.2x
  sobol_monte_carlo   Soma: wall    73ms inner    53ms   Python: wall   362ms inner   331ms   speedup:    6.2x
  sophie_germain      Soma: wall     5ms inner     1ms   Python: wall    79ms inner    45ms   speedup:   45.0x
  spiral_diag         Soma: wall     5ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.8x
  stirling2           Soma: wall     5ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.8x
  sum_squares         Soma: wall     5ms inner   —ms   Python: wall    21ms inner     0ms   speedup:    4.2x
  tonelli_shanks      Soma: wall     5ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.8x
  totient             Soma: wall     5ms inner   —ms   Python: wall    37ms inner     8ms   speedup:    7.4x
  triangle_words      Soma: wall     4ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    5.0x
  triangular          Soma: wall    11ms inner   —ms   Python: wall   136ms inner   111ms   speedup:   12.4x
  tribonacci          Soma: wall     5ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.8x
  truncatable_primes  Soma: wall    22ms inner    17ms   Python: wall   825ms inner   799ms   speedup:   47.0x
  twin_primes         Soma: wall    40ms inner    28ms   Python: wall  1313ms inner  1340ms   speedup:   47.9x
  wallis              Soma: wall     9ms inner   —ms   Python: wall    85ms inner    75ms   speedup:    9.4x
  wilson              Soma: wall    11ms inner     2ms   Python: wall    40ms inner    11ms   speedup:    5.5x
  word_count          Soma: wall     5ms inner   —ms   Python: wall    19ms inner     0ms   speedup:    3.8x
  zeller              Soma: wall     5ms inner   —ms   Python: wall    20ms inner     0ms   speedup:    4.0x
  zeta3               Soma: wall     5ms inner   —ms   Python: wall    81ms inner    59ms   speedup:   16.2x
