  machin_pi               Soma: wall     5ms inner   —ms   Numba: wall   338ms inner    0.00ms   speedup: 67.60x(wall)
  mandelbrot              Soma: wall  1796ms inner  1786ms   Numba: wall  2138ms inner 1769.61ms   speedup:        0.99x
  matrix_fib              Soma: wall    37ms inner    19ms   Numba: wall   280ms inner  269.80ms   speedup:       14.20x
  mergesort               Soma: wall     4ms inner   —ms   Numba: wall    17ms inner    0.02ms   speedup:  4.25x(wall)
  mersenne                Soma: wall   331ms inner   302ms   Numba: wall  3966ms inner 3944.44ms   speedup:       13.06x
  miller_rabin            Soma: wall   281ms inner   226ms   Numba: wall  2577ms inner 2549.66ms   speedup:       11.28x
  mobius                  Soma: wall     4ms inner   —ms   Numba: wall   342ms inner    0.89ms   speedup: 85.50x(wall)
  multinomial             Soma: wall     4ms inner   —ms   Numba: wall    18ms inner    0.01ms   speedup:  4.50x(wall)
  newton_root             Soma: wall     4ms inner   —ms   Numba: wall   332ms inner    0.90ms   speedup: 83.00x(wall)
bench/compare_B.sh: line 30: 56627 Segmentation fault: 11  $PY "bench/numba/$1.py" > /dev/null 2>&1
  nqueens                 Soma: wall   924ms inner   919ms   Numba: wall   284ms inner     —ms   speedup:  0.31x(wall)
  odd_period              Soma: wall     9ms inner     1ms   Numba: wall    37ms inner   14.80ms   speedup:       14.80x
  padovan                 Soma: wall     4ms inner   —ms   Numba: wall   329ms inner    0.00ms   speedup: 82.25x(wall)
  palindrome              Soma: wall     4ms inner   —ms   Numba: wall    35ms inner    8.89ms   speedup:  8.75x(wall)
  pandigital              Soma: wall    19ms inner    10ms   Numba: wall    36ms inner   12.12ms   speedup:        1.21x
  partitions              Soma: wall     4ms inner   —ms   Numba: wall   335ms inner    0.00ms   speedup: 83.75x(wall)
  pell                    Soma: wall     4ms inner   —ms   Numba: wall    20ms inner    0.02ms   speedup:  5.00x(wall)
  perfect                 Soma: wall     4ms inner   —ms   Numba: wall   334ms inner    0.01ms   speedup: 83.50x(wall)
