  machin_pi               Soma: wall     4ms inner   —ms   Numba: wall   335ms inner    0.00ms   speedup: 83.75x(wall)
  mandelbrot              Soma: wall  1930ms inner  1774ms   Numba: wall  2270ms inner 1767.99ms   speedup:        1.00x
  matrix_fib              Soma: wall    34ms inner    20ms   Numba: wall   286ms inner  266.25ms   speedup:       13.31x
  mergesort               Soma: wall     4ms inner   —ms   Numba: wall    18ms inner    0.02ms   speedup:  4.50x(wall)
  mersenne                Soma: wall   335ms inner   293ms   Numba: wall  3939ms inner 3932.58ms   speedup:       13.42x
  miller_rabin            Soma: wall   236ms inner   237ms   Numba: wall  2556ms inner 2524.45ms   speedup:       10.65x
  mobius                  Soma: wall     5ms inner   —ms   Numba: wall   332ms inner    0.94ms   speedup: 66.40x(wall)
  multinomial             Soma: wall     5ms inner   —ms   Numba: wall    19ms inner    0.01ms   speedup:  3.80x(wall)
  newton_root             Soma: wall     4ms inner   —ms   Numba: wall   336ms inner    0.69ms   speedup: 84.00x(wall)
bench/compare_B.sh: line 30: 21380 Segmentation fault: 11  $PY "bench/numba/$1.py" > /dev/null 2>&1
  nqueens                 Soma: wall   919ms inner   912ms   Numba: wall   282ms inner     —ms   speedup:  0.31x(wall)
  odd_period              Soma: wall     9ms inner     2ms   Numba: wall    36ms inner   15.27ms   speedup:        7.63x
  padovan                 Soma: wall     4ms inner   —ms   Numba: wall   336ms inner    0.00ms   speedup: 84.00x(wall)
  palindrome              Soma: wall     5ms inner   —ms   Numba: wall    35ms inner    8.17ms   speedup:  7.00x(wall)
  pandigital              Soma: wall    17ms inner    11ms   Numba: wall    35ms inner   12.06ms   speedup:        1.10x
  partitions              Soma: wall     5ms inner   —ms   Numba: wall   335ms inner    0.00ms   speedup: 67.00x(wall)
  pell                    Soma: wall     4ms inner   —ms   Numba: wall    19ms inner    0.02ms   speedup:  4.75x(wall)
  perfect                 Soma: wall     4ms inner   —ms   Numba: wall   335ms inner    0.01ms   speedup: 83.75x(wall)
  perrin                  Soma: wall     4ms inner   —ms   Numba: wall   332ms inner    0.65ms   speedup: 83.00x(wall)
  pollard_rho             Soma: wall    19ms inner     7ms   Numba: wall    40ms inner   19.71ms   speedup:        2.82x
  primorial               Soma: wall     4ms inner   —ms   Numba: wall    17ms inner    0.02ms   speedup:  4.25x(wall)
  pythagoras              Soma: wall     4ms inner   —ms   Numba: wall   337ms inner    0.05ms   speedup: 84.25x(wall)
  quadratic_primes        Soma: wall    18ms inner    10ms   Numba: wall   336ms inner    7.24ms   speedup:        0.72x
  quicksort               Soma: wall     9ms inner   —ms   Numba: wall   339ms inner    1.66ms   speedup: 37.67x(wall)
  random_walk             Soma: wall     9ms inner   —ms   Numba: wall   332ms inner    1.47ms   speedup: 36.89x(wall)
  recaman                 Soma: wall     4ms inner   —ms   Numba: wall   338ms inner    0.01ms   speedup: 84.50x(wall)
  sieve                   Soma: wall    35ms inner    27ms   Numba: wall   441ms inner  218.55ms   speedup:        8.09x
  simpson                 Soma: wall     4ms inner   —ms   Numba: wall   341ms inner    0.80ms   speedup: 85.25x(wall)
  sobol_monte_carlo       Soma: wall    38ms inner    33ms   Numba: wall   389ms inner   33.38ms   speedup:        1.01x
  sophie_germain          Soma: wall     9ms inner     1ms   Numba: wall   338ms inner    1.28ms   speedup:        1.28x
  spiral_diag             Soma: wall     4ms inner   —ms   Numba: wall   337ms inner    0.00ms   speedup: 84.25x(wall)
  stirling2               Soma: wall     4ms inner   —ms   Numba: wall    19ms inner    0.01ms   speedup:  4.75x(wall)
  sum_squares             Soma: wall     4ms inner   —ms   Numba: wall    18ms inner    0.01ms   speedup:  4.50x(wall)
  tonelli_shanks          Soma: wall     4ms inner   —ms   Numba: wall    19ms inner    0.01ms   speedup:  4.75x(wall)
  totient                 Soma: wall     4ms inner   —ms   Numba: wall   333ms inner    1.08ms   speedup: 83.25x(wall)
  triangle_words          Soma: wall     5ms inner   —ms   Numba: wall    18ms inner    0.01ms   speedup:  3.60x(wall)
  triangular              Soma: wall     9ms inner   —ms   Numba: wall   336ms inner    3.06ms   speedup: 37.33x(wall)
  tribonacci              Soma: wall     4ms inner   —ms   Numba: wall    35ms inner    0.01ms   speedup:  8.75x(wall)
  truncatable_primes      Soma: wall    36ms inner    18ms   Numba: wall   865ms inner  815.85ms   speedup:       45.33x
  twin_primes             Soma: wall    33ms inner    28ms   Numba: wall   385ms inner   26.97ms   speedup:        0.96x
  wallis                  Soma: wall     9ms inner   —ms   Numba: wall   337ms inner    0.76ms   speedup: 37.44x(wall)
  wilson                  Soma: wall    10ms inner     1ms   Numba: wall    37ms inner   11.17ms   speedup:       11.17x
  word_count              Soma: wall     5ms inner   —ms   Numba: wall   337ms inner    2.06ms   speedup: 67.40x(wall)
  zeller                  Soma: wall     4ms inner   —ms   Numba: wall   339ms inner    0.00ms   speedup: 84.75x(wall)
  zeta3                   Soma: wall     4ms inner   —ms   Numba: wall   120ms inner   57.99ms   speedup: 30.00x(wall)
